,id_person_blue,id_person_white,id_winner,competition_date
974,50071,29952,29952,2022-08-15
976,25917,2539,25917,2022-08-15
977,50071,30499,30499,2022-08-15
975,47183,38880,38880,2022-08-15
979,29952,20,20,2022-08-15
978,2539,47183,2539,2022-08-15
980,25917,38880,38880,2022-08-15
981,25917,30499,25917,2022-08-15
982,29952,2539,29952,2022-08-15
983,38880,20,38880,2022-08-15
963,42860,9520,9520,2022-08-27
964,21357,42006,42006,2022-08-27
965,37998,45536,45536,2022-08-27
966,42006,9520,42006,2022-08-27
962,46961,45536,45536,2022-08-27
968,9520,46961,46961,2022-08-27
969,37998,42860,42860,2022-08-27
970,42006,45536,42006,2022-08-27
967,21357,42860,42860,2022-08-27
945,30230,19799,19799,2022-09-03
944,10361,38194,38194,2022-09-03
943,7855,49726,49726,2022-09-03
942,36121,29719,29719,2022-09-03
941,20999,29952,29952,2022-09-03
940,31629,20477,31629,2022-09-03
938,52539,30230,30230,2022-09-03
937,37917,10361,10361,2022-09-03
936,22972,36121,36121,2022-09-03
935,4333,20999,20999,2022-09-03
934,20237,31629,31629,2022-09-03
946,59468,65194,59468,2022-09-03
939,61403,3364,3364,2022-09-03
947,3364,20673,3364,2022-09-03
959,12863,69543,12863,2022-09-03
949,49726,29719,49726,2022-09-03
950,19799,38194,38194,2022-09-03
951,3364,59468,3364,2022-09-03
952,29719,31629,29719,2022-09-03
953,59468,19799,19799,2022-09-03
